library,function,line,file
tensorboard.compat.proto.summary_pb2.Summary.Value,Summary.Value,240,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.MetricInfo,MetricInfo,242,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.MetricName,MetricName,242,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.Experiment,Experiment,244,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.hparams.api_pb2.Status.Value,Status.Value,254,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.tensor_pb2.TensorProto,TensorProto,289,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.summary_pb2.HistogramProto,HistogramProto,328,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.summary_pb2.Summary.Image,Summary.Image,501,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.summary_pb2.Summary.Audio,Summary.Audio,583,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.custom_scalar.layout_pb2.MarginChartContent,layout_pb2.MarginChartContent,601,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.custom_scalar.layout_pb2.MarginChartContent.Series,layout_pb2.MarginChartContent.Series,603,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.custom_scalar.layout_pb2.Chart,layout_pb2.Chart,608,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.custom_scalar.layout_pb2.MultilineChartContent,layout_pb2.MultilineChartContent,610,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.custom_scalar.layout_pb2.Category,layout_pb2.Category,613,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.custom_scalar.layout_pb2.Layout,layout_pb2.Layout,615,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.tensor_shape_pb2.TensorShapeProto,TensorShapeProto,621,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.text.plugin_data_pb2.TextPluginData,TextPluginData,632,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.compat.proto.tensor_shape_pb2.TensorShapeProto.Dim,TensorShapeProto.Dim,638,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.pr_curve.plugin_data_pb2.PrCurvePluginData,PrCurvePluginData,651,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
tensorboard.plugins.mesh.metadata.create_summary_metadata,metadata.create_summary_metadata,758,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\summary.py
summary.hparams,hparams,336,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\writer.py
tensorboard.compat.tf.compat.as_bytes,tf.compat.as_bytes,18,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\_embedding.py
